phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2203	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_INF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_INF_NOS.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	3188	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	14890	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION.gz
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	7854	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	3239	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_STREPTO_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_STREPTO_SEPSIS.gz
AB1_TUBERCULOSIS	Tuberculosis, wide	I Certain infectious and parasitic diseases (AB1_)	3063	497285	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_TUBERCULOSIS.gz
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	1808	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VARICELLA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VARICELLA.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	2847	497501	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_CNS.gz
AB1_VIRAL_HEMOR_FEVER_NOS	Viral haemorrhagic fevers, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	3042	496577	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEMOR_FEVER_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEMOR_FEVER_NOS.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	2776	497572	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEPATITIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)	1386	497501	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_MENINGITIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_MENINGITIS.gz
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	8325	486087	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_NOS.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	11050	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	20032	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	1449	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_SKIN_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_SKIN_NOS.gz
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)	4044	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_WARTS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_VIRAL_WARTS.gz
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	7132	480316	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ZOSTER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_ZOSTER.gz
ABDOM_HERNIA	Hernia of abdominal wall	XI Diseases of the digestive system (K11_)	21210	479138	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ABDOM_HERNIA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ABDOM_HERNIA.gz
ABDOM_HERNIA_POSTOP	Hernia of abdominal wall, postoperative	XI Diseases of the digestive system (K11_)	8152	277113	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ABDOM_HERNIA_POSTOP.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ABDOM_HERNIA_POSTOP.gz
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	3403	216472	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AD_AM_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AD_AM_EXMORE.gz
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more control exclusions)	Neurological endpoints	1820	216472	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AD_EO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AD_EO_EXMORE.gz
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more control exclusions)	Neurological endpoints	9690	216472	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AD_LO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AD_LO_EXMORE.gz
ALCODELIRIUM	Alcohol withdrawal state with delirium 	V Mental and behavioural disorders (F5_)	2605	497743	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALCODELIRIUM.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCODELIRIUM.gz
ALCOHOLACUTE10	Acute alcohol intoxication, ICD10	Alcohol related diseases	8774	489910	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOHOLACUTE10.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOHOLACUTE10.gz
ALCOPANCACU	Alcohol-induced acute pancreatitis	Alcohol related diseases	1286	499062	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCACU.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCACU.gz
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	2400	497948	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCCHRON.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCOPANCCHRON.gz
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Alcohol related diseases	3513	496835	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALCO_PRESCRIPTION.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALCO_PRESCRIPTION.gz
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	13450	270290	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_ASTHMA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_ASTHMA.gz
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	15569	474650	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_RHINITIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ALLERG_RHINITIS.gz
AMN2	Transient global amnesia	Neurological endpoints	3315	471699	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AMN2.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AMN2.gz
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	149403	111976	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ANTIDEPRESSANTS.gz
APPENDACUT_COMPLIC	Acute appendicitis, with complications	XI Diseases of the digestive system (K11_)	8921	458424	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_APPENDACUT_COMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_APPENDACUT_COMPLIC.gz
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	XI Diseases of the digestive system (K11_)	30012	458424	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_APPENDACUT_NOCOMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_APPENDACUT_NOCOMPLIC.gz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	22761	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	6883	267434	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ALLERG.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_ALLERG.gz
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	Asthma and related endpoints	8402	259839	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_CHILD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_CHILD_EXMORE.gz
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	3565	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_EOSINOPHIL_SUGG.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_EOSINOPHIL_SUGG.gz
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	31090	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_INFECTIONS.gz
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more control exclusions)	Asthma and related endpoints	2407	259839	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_MIXED_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_MIXED_EXMORE.gz
ASTHMA_NAS	Asthma, unspecified (mode)	Asthma and related endpoints	30770	270290	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_NAS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_NAS.gz
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	15107	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OBESITY.gz
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunity respiratory infection	Asthma and related endpoints	1606	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OPPORTUNIST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_OPPORTUNIST_INFECTIONS.gz
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	16964	441248	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_ASTHMA_PNEUMONIA.gz
AUD	Alcohol use disorder, ICD-based	V Mental and behavioural disorders (F5_)	20597	479751	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AUD.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUD.gz
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Alcohol related diseases	28861	471487	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AUD_SWEDISH.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUD_SWEDISH.gz
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	128075	372273	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE.gz
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	2469	370637	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_HYPERTHYROIDISM.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_HYPERTHYROIDISM.gz
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	70570	371089	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_NONTHYROID.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AUTOIMMUNE_NONTHYROID.gz
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	2356	492689	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_BACT_INTEST_INFECTION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_BACT_INTEST_INFECTION_NOS.gz
BLEEDING	Bleeding	Miscellaneous, not yet classified endpoints	49027	451321	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_BLEEDING.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_BLEEDING.gz
BRONCHITIS	Bronchitis	Asthma and related endpoints	77621	422727	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_BRONCHITIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_BRONCHITIS.gz
C3_AML_MDS_EXALLC	Acute myeloid leukaemia and myelodysplastic syndromes, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1249	378296	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_AML_MDS_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_AML_MDS_EXALLC.gz
C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	26272	378749	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BASAL_CELL_CARCINOMA_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BASAL_CELL_CARCINOMA_EXALLC.gz
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	27001	378270	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC.gz
C3_BILIARY_GALLBLADDER_EXALLC	Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2298	378749	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BILIARY_GALLBLADDER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BILIARY_GALLBLADDER_EXALLC.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	4852	378749	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BLADDER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BLADDER_EXALLC.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1894	378749	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BRAIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BRAIN_EXALLC.gz
C3_BREAST_ERNEG_EXALLC	Malignant neoplasm of breast, ER-negative, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	9724	221705	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BREAST_ERNEG_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_C3_BREAST_ERNEG_EXALLC.gz
